Graph,Dc#Collection,C#Nodes,C#Edges,C#Density,C#Maximum degree,C#Minimum degree,C#Average degree,C#Assortativity,C#Total triangles,C#Average triangles,C#Maximum triangles,C#Avg. clustering coef.,C#Frac. closed triangles,C#Maximum k-core,C#Max. clique (lb),C#Upper bound of Chromatic number
frb100-40,BHOSLIB,4000,7425226,0.928385,3864,3553,3712,-0.0140786,25586898846,6.40E+06,6922343,0.928226,0.928218,3572,73,
frb30-15-1,BHOSLIB,450,83198,0.823539,407,327,369,-0.0291078,25223715,56052,67480,0.821076,0.820998,340,24,
frb30-15-2,BHOSLIB,450,83151,0.823073,404,333,369,-0.0237061,25170744,55934,66715,0.820417,0.820372,338,24,
frb30-15-3,BHOSLIB,450,83216,0.823717,400,327,369,-0.0321251,25248615,56108,65214,0.821498,0.821404,337,25,
frb30-15-4,BHOSLIB,450,83194,0.823499,401,339,369,-0.0293546,25223874,56053,65780,0.821178,0.821099,340,25,
frb30-15-5,BHOSLIB,450,83231,0.823865,403,321,369,-0.0493838,25284783,56188,66448,0.822271,0.822053,333,26,
frb35-17-1,BHOSLIB,595,148859,0.842368,544,462,500,-0.0411977,62589210,105191,123925,0.841011,0.840878,463,29,
frb35-17-2,BHOSLIB,595,148868,0.842419,541,460,500,-0.0293996,62542020,105112,122290,0.840465,0.840394,465,29,
frb35-17-3,BHOSLIB,595,148784,0.841943,549,429,500,-0.0358331,62571282,105161,126231,0.841338,0.841188,451,29,
frb35-17-4,BHOSLIB,595,148873,0.842447,560,444,500,-0.0380713,62665446,105320,131119,0.841658,0.841501,456,30,
frb35-17-5,BHOSLIB,595,148572,0.840744,550,460,499,-0.0242639,62223117,104576,126301,0.83933,0.839265,461,28,
frb40-19-1,BHOSLIB,760,247106,0.856758,703,581,650,-0.028485,137537475,180970,210645,0.856172,0.856082,595,33,
frb40-19-2,BHOSLIB,760,247157,0.856934,702,588,650,-0.0349963,137535582,180967,209909,0.856034,0.855937,598,34,
frb40-19-3,BHOSLIB,760,247325,0.857517,702,600,650,-0.0212089,137649684,181118,210224,0.85581,0.855782,613,33,
frb40-19-4,BHOSLIB,760,246815,0.855749,692,595,649,-0.034223,136839261,180051,203956,0.854306,0.854234,600,33,
frb40-19-5,BHOSLIB,760,246801,0.8557,691,585,649,-0.0260197,136843962,180057,203664,0.85436,0.854308,596,32,
frb45-21-1,BHOSLIB,945,386854,0.867308,876,756,818,-0.023507,274215303,290174,331569,0.866269,0.866231,769,36,
frb45-21-2,BHOSLIB,945,387416,0.868568,870,753,819,-0.0292325,275350671,291376,326917,0.867356,0.867313,769,37,
frb45-21-3,BHOSLIB,945,387795,0.869418,872,739,820,-0.023224,276204504,292279,329633,0.868295,0.868258,764,36,
frb45-21-4,BHOSLIB,945,387491,0.868736,875,732,820,-0.028105,275725716,291773,331229,0.868019,0.867953,757,36,
frb45-21-5,BHOSLIB,945,387461,0.868669,874,764,820,-0.0254529,275412942,291442,330516,0.867368,0.86733,771,36,
frb50-23-1,BHOSLIB,1150,580603,0.878803,1065,941,1009,-0.022007,514468827,447364,496139,0.877915,0.877884,950,40,
frb50-23-2,BHOSLIB,1150,579824,0.877624,1074,922,1008,-0.0202049,512490471,445643,504621,0.876856,0.876827,936,40,
frb50-23-3,BHOSLIB,1150,579607,0.877295,1078,945,1008,-0.0249133,511595760,444865,508004,0.876169,0.876142,953,40,
frb50-23-4,BHOSLIB,1150,580417,0.878521,1071,941,1009,-0.025344,513954522,446916,502654,0.877594,0.87756,950,40,
frb50-23-5,BHOSLIB,1150,580640,0.878859,1080,922,1009,-0.0252653,514642440,447515,510883,0.878063,0.878023,949,41,
frb53-24-1,BHOSLIB,1272,714129,0.883434,1185,1039,1122,-0.0130046,707565993,556262,619384,0.882696,0.882684,1054,42,
frb53-24-2,BHOSLIB,1272,714067,0.883357,1182,1039,1122,-0.0199921,707153097,555937,615325,0.882437,0.882417,1057,42,
frb53-24-3,BHOSLIB,1272,714229,0.883557,1183,1037,1123,-0.0210764,707732730,556393,616529,0.882724,0.882698,1050,43,
frb53-24-4,BHOSLIB,1272,714048,0.883334,1189,1045,1122,-0.0239669,707087994,555886,622152,0.8824,0.88237,1063,42,
frb53-24-5,BHOSLIB,1272,714130,0.883435,1199,1065,1122,-0.0246235,707216097,555987,633071,0.882407,0.882383,1071,42,
frb59-26-1,BHOSLIB,1534,1049256,0.892368,1439,1256,1368,-0.0148445,1279610478,834165,921051,0.891749,0.891733,1282,48,
frb59-26-2,BHOSLIB,1534,1049648,0.892701,1433,1268,1368,-0.0166248,1280975613,835055,914681,0.892031,0.892014,1285,47,
frb59-26-3,BHOSLIB,1534,1049729,0.89277,1455,1275,1368,-0.0169481,1281277926,835252,942732,0.892102,0.892086,1296,46,
frb59-26-4,BHOSLIB,1534,1048800,0.89198,1435,1259,1367,-0.0146581,1278017349,833127,916617,0.891392,0.891376,1284,47,
frb59-26-5,BHOSLIB,1534,1049829,0.892855,1452,1295,1368,-0.0225315,1281675225,835511,937881,0.892206,0.892178,1302,45,
bio-celegans-dir,Biological Networks,453,4574,0.0446776,634,1,20,-0.0735808,245311,541,26578,3.25902,0.351487,115,9,
bio-celegans,Biological Networks,453,2025,0.0197796,237,1,8,-0.225821,9852,21,870,0.646463,0.124436,11,9,
bio-diseasome,Biological Networks,516,1188,0.00894107,50,1,4,0.0666456,4080,7,152,0.63583,0.430471,11,11,
bio-dmela,Biological Networks,7393,25569,0.000935753,190,1,6,-0.0465044,8697,1,225,0.0118502,0.0149699,12,7,
bio-human-gene1,Biological Networks,21890,12323680,0.0514397,7938,1,1125,0.135545,20455812909,934482,8685050,0.62115,0.572322,2048,1287,
bio-human-gene2,Biological Networks,14022,9027024,0.0918302,7228,1,1287,0.0843645,14716300692,1.05E+06,6966875,0.650693,0.590674,1903,1243,
bio-mouse-gene,Biological Networks,43126,14461095,0.0155512,8031,1,670,0.00168044,10857293586,251757,4238670,0.514156,0.420687,1046,418,
bio-yeast-protein-inter,Biological Networks,1846,4406,0.0025873,112,2,4,-0.16153,2664,1,72,0.0516333,0.0504221,11,6,
bio-yeast,Biological Networks,1458,1948,0.00183401,56,1,2,-0.209541,618,0,18,0.0708305,0.0517761,6,6,
bn-cat-mixed-species-brain-1,Brain Networks,65,1460,0.7019,45,3,22.46,-0.03,10839,166.75,470,0.661,0.575,16,12,17
bn-fly-drosophila-medulla-1,Brain Networks,1781,17822,0.0112,927,1,10.01,-0.09,48765,27.38,6031,0.263,0.069,18,7,17
bn-macaque-rhesus-brain-1,Brain Networks,242,6108,0.2095,111,1,25.24,-0.05,38790,160.29,1247,0.45,0.337,19,11,20
bn-macaque-rhesus-brain-2,Brain Networks,91,1164,0.2842,87,1,12.79,-0.77,5706,62.7,486,0.86,0.268,11,9,11
bn-macaque-rhesus-cerebral-cortex-1,Brain Networks,91,2802,0.6842,87,6,30.79,-0.55,31008,340.75,1287,0.742,0.495,22,16,22
bn-macaque-rhesus-interareal-cortical-network-2,Brain Networks,93,4524,1.0575,92,29,48.65,-0.7,88914,956.06,2170,0.85,0.603,29,28,30
bn-mouse-brain-1,Brain Networks,213,32178,1.4252,205,86,151.07,-0.07,1867242,8766.39,15024,0.758,0.752,111,78,66
bn-mouse-visual-cortex-1,Brain Networks,29,88,0.2167,9,1,3.03,-0.47,3,0.1,1,0.049,0.022,2,1,4
bn-mouse-visual-cortex-2,Brain Networks,193,428,0.0231,31,0,2.22,-0.22,12,0.06,2,0.021,0.005,3,1,3
ca-AstroPh,Collaboration Networks,17903,196972,0.00122916,504,1,22,0.201317,4050042,226,11269,0.632823,0.317778,57,57,
ca-CSphd,Collaboration Networks,1882,1740,0.000983039,46,1,1,-0.196611,24,0,4,0.0050668,0.00362264,3,3,
ca-CondMat,Collaboration Networks,21363,91286,0.000400065,279,1,8,0.125283,513153,24,1615,0.641732,0.261824,26,26,
ca-Erdos992,Collaboration Networks,6100,7515,0.00040399,61,0,2,-0.443834,4830,0,99,0.0683396,0.0419402,8,7,
ca-GrQc,Collaboration Networks,4158,13422,0.00155304,81,1,6,0.639186,143337,34,1179,0.556878,0.628894,44,44,
ca-HepPh,Collaboration Networks,11204,117619,0.00187413,491,1,20,0.629503,10073670,899,39633,0.621582,0.659447,239,239,
ca-IMDB,Collaboration Networks,896305,3782456,9.42E-06,1590,1,8,-0.052988,13074,0,78,5.79E-05,8.08E-05,24,3,
ca-MathSciNet-dir,Collaboration Networks,391529,873775,1.14E-05,496,1,4,0.122669,1802574,4,1564,0.401687,0.141333,25,25,
ca-MathSciNet,Collaboration Networks,332689,820644,1.48E-05,496,1,4,0.10301,1730334,5,1564,0.41042,0.136691,25,25,
ca-citeseer,Collaboration Networks,227320,814134,3.15E-05,1372,1,7,0.0696073,8139894,35,5398,0.675803,0.455516,87,69,
ca-coauthors-dblp,Collaboration Networks,540486,15245729,0.000104378,3299,1,56,0.509785,1332285174,2464,284067,0.801877,0.65615,337,218,
ca-dblp-2010,Collaboration Networks,226413,716460,2.80E-05,238,1,6,0.296791,4793937,21,5947,0.635305,0.383187,75,59,
ca-dblp-2012,Collaboration Networks,317080,1049866,2.09E-05,343,1,6,0.266521,6673155,21,8345,0.632431,0.306377,114,102,
ca-hollywood-2009,Collaboration Networks,1069126,56306653,9.85E-05,11467,1,105,0.350902,14748661845,13795,3977656,0.766355,0.309554,2209,53,
ca-netscience,Collaboration Networks,379,914,0.0127598,34,1,4,-0.0816778,2763,7,75,0.741231,0.430575,9,9,
ca-sandi-auths,Collaboration Networks,86,124,0.0339261,12,1,2,-0.255801,126,1,7,0.414879,0.272138,5,5,
ENZYMES-g1,Cheminformatics,37,168,0.2523,7,0,4.54,-0.02,149,4.03,6.5,0.523,0.482,4,2,5
ENZYMES-g10,Cheminformatics,32,106,0.2137,5,0,3.31,-0.03,68,2.13,4,0.562,0.548,3,2,4
ENZYMES-g100,Cheminformatics,5,18,1.8,4,0,3.6,-0.23,15,3,4,0.6,0.714,3,2,4
ENZYMES-g101,Cheminformatics,45,176,0.1778,7,0,3.91,-0.02,68,1.51,5,0.266,0.25,3,1,4
ENZYMES-g102,Cheminformatics,42,164,0.1905,6,0,3.9,-0.02,50,1.19,3,0.223,0.203,3,1,4
ENZYMES-g103,Cheminformatics,59,230,0.1344,9,0,3.9,-0.03,73,1.24,4,0.22,0.202,3,2,4
ENZYMES-g104,Cheminformatics,32,128,0.2581,5,0,4,-0.03,71,2.22,4,0.357,0.36,3,2,4
ENZYMES-g105,Cheminformatics,33,138,0.2614,7,0,4.18,-0.04,82,2.48,7,0.365,0.364,3,2,4
ENZYMES-g106,Cheminformatics,17,60,0.4412,5,0,3.53,-0.09,38,2.24,5,0.549,0.543,3,2,4
ENZYMES-g107,Cheminformatics,39,166,0.224,8,0,4.26,-0.06,123,3.15,8.5,0.449,0.432,4,3,5
ENZYMES-g108,Cheminformatics,38,164,0.2333,8,0,4.32,-0.05,121,3.18,9,0.459,0.429,3,2,5
ENZYMES-g109,Cheminformatics,35,140,0.2353,6,0,4,-0.04,97,2.77,6,0.443,0.439,3,2,5
ENZYMES-g11,Cheminformatics,4,12,2,3,0,3,-0.33,6,1.5,2,0.5,0.667,3,2,3
ENZYMES-g110,Cheminformatics,16,58,0.4833,5,0,3.63,-0.1,39,2.44,5,0.556,0.549,3,2,4
ENZYMES-g111,Cheminformatics,26,98,0.3015,6,0,3.77,-0.04,76,2.92,6,0.608,0.543,3,2,4
ENZYMES-g112,Cheminformatics,51,190,0.149,5,0,3.73,-0.03,50,0.98,3,0.165,0.193,3,2,4
ENZYMES-g113,Cheminformatics,52,196,0.1478,6,0,3.77,-0.03,59,1.13,6,0.181,0.215,3,2,4
ENZYMES-g114,Cheminformatics,25,94,0.3133,5,0,3.76,-0.05,69,2.76,5,0.543,0.527,3,2,4
ENZYMES-g115,Cheminformatics,27,102,0.2906,5,0,3.78,-0.04,69,2.56,4,0.504,0.486,3,2,4
ENZYMES-g116,Cheminformatics,42,148,0.1719,5,0,3.52,-0.03,108,2.57,6,0.567,0.563,3,2,5
ENZYMES-g117,Cheminformatics,46,180,0.1739,8,0,3.91,-0.03,59,1.28,7,0.19,0.208,3,2,4
ENZYMES-g118,Cheminformatics,95,242,0.0542,5,0,2.55,0.01,0,0,0,0,0,2,0,3
ENZYMES-g119,Cheminformatics,12,44,0.6667,5,0,3.67,-0.09,38,3.17,6,0.686,0.623,3,2,4
ENZYMES-g12,Cheminformatics,14,56,0.6154,6,0,4,-0.05,51,3.64,8,0.586,0.586,3,2,4
ENZYMES-g120,Cheminformatics,22,92,0.3983,7,0,4.18,-0.02,68,3.09,9,0.465,0.422,3,2,5
ENZYMES-g121,Cheminformatics,42,164,0.1905,9,0,3.9,-0.01,93,2.21,12,0.342,0.351,3,2,6
ENZYMES-g122,Cheminformatics,14,58,0.6374,6,0,4.14,-0.09,54,3.86,8,0.557,0.587,4,3,5
ENZYMES-g123,Cheminformatics,90,254,0.0634,9,0,2.82,-0.03,29,0.32,2,0.099,0.092,3,1,4
ENZYMES-g124,Cheminformatics,14,62,0.6813,6,0,4.43,-0.1,59,4.21,7.5,0.585,0.578,4,2,5
ENZYMES-g125,Cheminformatics,14,66,0.7253,6,0,4.71,-0.12,54,3.86,6,0.486,0.5,4,2,5
ENZYMES-g126,Cheminformatics,32,94,0.1895,5,0,2.94,-0.06,13,0.41,2,0.082,0.124,3,1,3
ENZYMES-g127,Cheminformatics,11,46,0.8364,5,0,4.18,-0.1,40,3.64,6,0.562,0.563,3,2,4
ENZYMES-g128,Cheminformatics,26,74,0.2277,6,0,2.85,-0.08,9,0.35,2,0.047,0.105,3,1,4
ENZYMES-g129,Cheminformatics,11,40,0.7273,5,0,3.64,-0.09,30,2.73,4,0.603,0.566,3,2,4
ENZYMES-g13,Cheminformatics,42,150,0.1742,5,0,3.57,-0.02,101,2.4,5,0.529,0.51,3,2,5
ENZYMES-g130,Cheminformatics,14,50,0.5495,5,0,3.57,-0.12,39,2.79,4,0.717,0.661,3,2,4
ENZYMES-g131,Cheminformatics,18,70,0.4575,5,0,3.89,-0.03,62,3.44,6,0.611,0.602,3,2,5
ENZYMES-g132,Cheminformatics,16,64,0.5333,6,0,4,-0.06,55,3.44,7,0.605,0.556,3,2,4
ENZYMES-g133,Cheminformatics,17,68,0.5,5,0,4,-0.09,57,3.35,6,0.627,0.576,3,2,4
ENZYMES-g134,Cheminformatics,32,102,0.2056,5,0,3.19,-0.06,30,0.94,3,0.171,0.234,3,1,4
ENZYMES-g135,Cheminformatics,13,52,0.6667,7,0,4,-0.09,45,3.46,7,0.577,0.542,3,2,5
ENZYMES-g136,Cheminformatics,3,6,2,2,0,2,-0.5,1,0.33,0.5,0.333,0.5,2,1,2
ENZYMES-g137,Cheminformatics,22,80,0.3463,7,0,3.64,-0.07,60,2.73,6,0.618,0.531,3,2,4
ENZYMES-g138,Cheminformatics,16,72,0.6,7,0,4.5,-0.06,69,4.31,7,0.565,0.523,3,2,5
ENZYMES-g139,Cheminformatics,38,164,0.2333,7,0,4.32,-0.01,98,2.58,6,0.353,0.337,3,2,4
ENZYMES-g14,Cheminformatics,41,146,0.178,5,0,3.56,-0.02,98,2.39,5,0.53,0.51,3,2,5
ENZYMES-g140,Cheminformatics,13,56,0.7179,5,0,4.31,-0.05,46,3.54,6,0.513,0.505,4,2,4
ENZYMES-g141,Cheminformatics,12,48,0.7273,6,0,4,-0.13,42,3.5,7,0.636,0.618,3,2,4
ENZYMES-g142,Cheminformatics,14,58,0.6374,5,0,4.14,-0.11,44,3.14,4.5,0.552,0.518,3,2,4
ENZYMES-g143,Cheminformatics,39,122,0.1646,6,0,3.13,-0.05,20,0.51,4,0.063,0.123,3,1,4
ENZYMES-g144,Cheminformatics,19,70,0.4094,6,0,3.68,-0.07,58,3.05,6,0.688,0.604,3,2,4
ENZYMES-g145,Cheminformatics,20,78,0.4105,5,0,3.9,-0.05,61,3.05,5,0.587,0.54,3,2,4
ENZYMES-g146,Cheminformatics,39,174,0.2348,7,0,4.46,-0.04,120,3.08,8,0.403,0.392,3,2,5
ENZYMES-g147,Cheminformatics,40,168,0.2154,6,0,4.2,-0.04,71,1.78,5.5,0.241,0.256,3,2,4
ENZYMES-g148,Cheminformatics,39,160,0.2159,6,0,4.1,-0.03,61,1.56,6,0.231,0.239,3,2,4
ENZYMES-g149,Cheminformatics,39,164,0.2213,6,0,4.21,-0.03,79,2.03,6,0.291,0.29,3,2,5
ENZYMES-g15,Cheminformatics,36,128,0.2032,5,0,3.56,-0.02,95,2.64,5,0.588,0.565,3,2,4
ENZYMES-g150,Cheminformatics,29,82,0.202,5,0,2.83,-0.06,15,0.52,2,0.191,0.179,2,1,3
ENZYMES-g151,Cheminformatics,22,80,0.3463,6,0,3.64,-0.06,29,1.32,6,0.161,0.242,3,2,4
ENZYMES-g152,Cheminformatics,11,44,0.8,7,0,4,-0.13,34,3.09,5,0.625,0.5,3,2,4
ENZYMES-g153,Cheminformatics,8,32,1.1429,6,0,4,-0.12,24,3,6,0.463,0.49,3,2,4
