,Graph,Collection,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Total triangles,Average triangles,Maximum triangles,Avg. clustering coef.,Frac. closed triangles,Maximum k-core,Max. clique (lb)
0,web-BerkStan-dir,Web Graphs,685230.0,7600595.0,3.23747e-05,84290.0,1.0,22.0,-0.17688900000000002,322306034.0,470.36182595624825,1004568.0,0.6447,0.011437000000000001,337.0,18.0
1,web-BerkStan,Web Graphs,685230.0,7600595.0,3.23747e-05,84290.0,1.0,22.0,-0.17688900000000002,322306034.0,470.36182595624825,1004568.0,0.6447,0.011437000000000001,337.0,18.0
2,web-EPA,Web Graphs,4271.0,8965.0,0.000983157,175.0,1.0,4.0,-0.30409899999999995,3144.0,0.7361273706391945,103.0,0.0708485,0.012840899999999999,7.0,4.0
3,web-Stanford,Web Graphs,281903.0,2312497.0,5.8198699999999996e-05,38626.0,1.0,16.0,-0.09622280000000001,48741234.0,172.9007282646868,382002.0,0.58887,0.0122515,87.0,17.0
4,web-arabic-2005,Web Graphs,163598.0,1747269.0,0.000130568,1102.0,1.0,21.0,0.15002100000000002,65011059.0,397.38296922945267,5884.0,0.6476569999999999,0.9475870000000001,102.0,102.0
5,web-baidu-baike-related,Web Graphs,415624.0,3284369.0,3.80261e-05,127090.0,1.0,15.0,0.705272,77329820.0,186.05715743075473,380972.0,0.232021,0.0011930999999999999,256.0,66.0
6,web-baidu-baike,Web Graphs,2140198.0,17783332.0,7.764889999999998e-06,97950.0,1.0,16.0,-0.268811,92428195.0,43.186749543733804,1341850.0,0.12903299999999998,0.00292242,83.0,30.0
7,web-edu,Web Graphs,3031.0,6474.0,0.00140985,104.0,1.0,4.0,-0.168845,30174.0,9.955130320026393,523.0,0.564184,0.272115,30.0,16.0
8,web-frwikinews-user-edits,Web Graphs,25042.0,193612.0,0.000617507,32608.0,1.0,15.0,-0.254438,3188226.0,127.3151505470809,316014.0,0.296613,0.00195653,18135.0,27.0
9,web-google-dir,Web Graphs,875713.0,5105039.0,1.3313900000000001e-05,6353.0,1.0,11.0,-0.0488819,69625427.0,79.5071296189505,48152.0,0.601431,0.0894696,65.0,17.0
10,web-google,Web Graphs,1299.0,2773.0,0.00328924,59.0,1.0,4.0,-0.0546939,15204.0,11.704387990762125,189.0,0.348321,0.5319619999999999,18.0,18.0
11,web-hudong,Web Graphs,1974655.0,14682258.0,7.530789999999999e-06,61572.0,1.0,14.0,-0.22048299999999998,139056296.0,70.42055245093447,327455.0,0.0892735,0.00736266,529.0,267.0
12,web-indochina-2004,Web Graphs,11358.0,47606.0,0.000738119,199.0,1.0,8.0,0.124555,630234.0,55.48811410459588,1475.0,0.709915,0.56697,50.0,35.0
13,web-it-2004,Web Graphs,509338.0,7178413.0,5.5341000000000004e-05,469.0,1.0,28.0,0.98524,1016652636.0,1996.02746309916,93368.0,0.816026,0.948023,432.0,432.0
14,web-italycnr-2000,Web Graphs,325557.0,3128710.0,5.9039499999999996e-05,18278.0,1.0,19.0,-0.186978,96049976.0,295.0327469536825,720065.0,0.492983,0.012070200000000001,162.0,13.0
15,web-polblogs,Web Graphs,643.0,2280.0,0.0110464,165.0,1.0,7.0,-0.21786999999999998,9012.0,14.015552099533437,392.0,0.23201599999999997,0.160848,13.0,9.0
16,web-sk-2005,Web Graphs,121422.0,334419.0,4.53659e-05,590.0,1.0,5.0,0.0808632,2980263.0,24.544670652764736,3481.0,0.233198,0.473203,82.0,53.0
17,web-spam,Web Graphs,4767.0,37375.0,0.00329012,477.0,1.0,15.0,4.72558e-05,387051.0,81.19383259911895,6273.0,0.285979,0.14519300000000002,36.0,14.0
18,web-uk-2005,Web Graphs,129632.0,11744049.0,0.00139774,850.0,1.0,181.0,0.9969389999999999,2513657160.0,19390.714946926684,124251.0,0.9883629999999999,0.999717,500.0,500.0
19,web-webbase-2001,Web Graphs,16062.0,25593.0,0.000198417,1679.0,1.0,3.0,-0.098495,63345.0,3.9437803511393352,1362.0,0.224316,0.024926300000000002,33.0,9.0
20,web-wiki-ch-internal,Web Graphs,1930270.0,9353984.0,5.02101e-06,29502.0,1.0,9.0,-0.0466194,70022089.0,36.275800276645235,600097.0,0.111251,0.00927161,128.0,13.0
21,web-wikipedia2009,Web Graphs,1864433.0,4507315.0,2.5933099999999997e-06,2624.0,1.0,4.0,0.0488784,6653808.0,3.5688104640928366,12404.0,0.159551,0.0484692,67.0,11.0
60,tech-RL-caida,Technological Networks,190914.0,607610.0,3.33412e-05,1071.0,1.0,6.0,0.024752700000000002,1364412.0,7.14673622678274,6044.0,0.158173,0.060759400000000005,33.0,17.0
61,tech-WHOIS,Technological Networks,7476.0,56943.0,0.00203793,1079.0,1.0,15.0,-0.04246880000000001,2347482.0,314.0024077046549,22271.0,0.48892299999999994,0.306151,89.0,49.0
62,tech-as-caida2007,Technological Networks,26475.0,53381.0,0.000152321,2628.0,1.0,4.0,-0.194646,109095.0,4.1206798866855525,3813.0,0.208233,0.00731873,23.0,16.0
63,tech-as-skitter,Technological Networks,1694616.0,11094209.0,7.72652e-06,35455.0,1.0,13.0,-0.0814313,86309526.0,50.93161282556048,564609.0,0.2584,0.00538705,112.0,55.0
