,Graph,Collection,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Total triangles,Average triangles,Maximum triangles,Avg. clustering coef.,Frac. closed triangles,Maximum k-core,Max. clique (lb)
0,web-BerkStan-dir,Web Graphs,685230.0,7600595.0,3.23747e-05,84290.0,1.0,22.0,-0.17688900000000002,322306034.0,470.36182595624825,1004568.0,0.6447,0.011437,337.0,18.0
1,web-BerkStan,Web Graphs,685230.0,7600595.0,3.23747e-05,84290.0,1.0,22.0,-0.17688900000000002,322306034.0,470.36182595624825,1004568.0,0.6447,0.011437,337.0,18.0
2,web-EPA,Web Graphs,4271.0,8965.0,0.000983157,175.0,1.0,4.0,-0.30409899999999995,3144.0,0.7361273706391945,103.0,0.0708485,0.0128409,7.0,4.0
3,web-Stanford,Web Graphs,281903.0,2312497.0,5.81987e-05,38626.0,1.0,16.0,-0.0962228,48741234.0,172.90072826468682,382002.0,0.58887,0.0122515,87.0,17.0
4,web-arabic-2005,Web Graphs,163598.0,1747269.0,0.000130568,1102.0,1.0,21.0,0.15002100000000002,65011059.0,397.3829692294527,5884.0,0.6476569999999999,0.947587,102.0,102.0
5,web-baidu-baike-related,Web Graphs,415624.0,3284369.0,3.80261e-05,127090.0,1.0,15.0,0.705272,77329820.0,186.05715743075473,380972.0,0.232021,0.0011931,256.0,66.0
6,web-baidu-baike,Web Graphs,2140198.0,17783332.0,7.764889999999997e-06,97950.0,1.0,16.0,-0.268811,92428195.0,43.18674954373382,1341850.0,0.12903299999999998,0.00292242,83.0,30.0
7,web-edu,Web Graphs,3031.0,6474.0,0.00140985,104.0,1.0,4.0,-0.168845,30174.0,9.955130320026393,523.0,0.564184,0.272115,30.0,16.0
8,web-frwikinews-user-edits,Web Graphs,25042.0,193612.0,0.000617507,32608.0,1.0,15.0,-0.254438,3188226.0,127.3151505470809,316014.0,0.296613,0.00195653,18135.0,27.0
9,web-google-dir,Web Graphs,875713.0,5105039.0,1.33139e-05,6353.0,1.0,11.0,-0.0488819,69625427.0,79.5071296189505,48152.0,0.601431,0.0894696,65.0,17.0
10,web-google,Web Graphs,1299.0,2773.0,0.00328924,59.0,1.0,4.0,-0.0546939,15204.0,11.704387990762124,189.0,0.348321,0.5319619999999999,18.0,18.0
11,web-hudong,Web Graphs,1974655.0,14682258.0,7.530789999999998e-06,61572.0,1.0,14.0,-0.220483,139056296.0,70.42055245093447,327455.0,0.0892735,0.00736266,529.0,267.0
12,web-indochina-2004,Web Graphs,11358.0,47606.0,0.000738119,199.0,1.0,8.0,0.124555,630234.0,55.48811410459588,1475.0,0.709915,0.56697,50.0,35.0
13,web-it-2004,Web Graphs,509338.0,7178413.0,5.5341e-05,469.0,1.0,28.0,0.98524,1016652636.0,1996.02746309916,93368.0,0.816026,0.948023,432.0,432.0
14,web-italycnr-2000,Web Graphs,325557.0,3128710.0,5.90395e-05,18278.0,1.0,19.0,-0.186978,96049976.0,295.03274695368253,720065.0,0.492983,0.0120702,162.0,13.0
15,web-polblogs,Web Graphs,643.0,2280.0,0.0110464,165.0,1.0,7.0,-0.21787,9012.0,14.015552099533437,392.0,0.232016,0.160848,13.0,9.0
16,web-sk-2005,Web Graphs,121422.0,334419.0,4.53659e-05,590.0,1.0,5.0,0.0808632,2980263.0,24.544670652764736,3481.0,0.233198,0.473203,82.0,53.0
17,web-spam,Web Graphs,4767.0,37375.0,0.00329012,477.0,1.0,15.0,4.72558e-05,387051.0,81.19383259911896,6273.0,0.285979,0.14519300000000002,36.0,14.0
18,web-uk-2005,Web Graphs,129632.0,11744049.0,0.00139774,850.0,1.0,181.0,0.996939,2513657160.0,19390.714946926684,124251.0,0.988363,0.999717,500.0,500.0
19,web-webbase-2001,Web Graphs,16062.0,25593.0,0.000198417,1679.0,1.0,3.0,-0.098495,63345.0,3.9437803511393352,1362.0,0.224316,0.0249263,33.0,9.0
