,Graph,Collection,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Total triangles,Average triangles,Maximum triangles,Avg. clustering coef.,Frac. closed triangles,Maximum k-core,Max. clique (lb)
0,web-BerkStan-dir,Web Graphs,0.011571612285609371,0.04444641098074365,5.4058365978161066e-06,0.0459804851598516,0.010204081632653059,0.016329704510108862,0.11291444597723985,0.0029561175630759217,0.00044817061444958633,0.0088499554404733,0.14296136472998774,0.011440237587237188,0.0183291634939628,0.013986013986013986
1,web-BerkStan,Web Graphs,0.011571612285609371,0.04444641098074365,5.4058365978161066e-06,0.0459804851598516,0.010204081632653059,0.016329704510108862,0.11291444597723985,0.0029561175630759217,0.00044817061444958633,0.0088499554404733,0.14296136472998774,0.011440237587237188,0.0183291634939628,0.013986013986013986
2,web-EPA,Web Graphs,7.20748616662519e-05,5.239007081904867e-05,0.0001644239979857747,9.546310241990782e-05,0.010204081632653059,0.0023328149300155523,0.09292490194972307,2.883605219227977e-08,7.013976003299502e-07,9.074004053172607e-07,0.015710560336703174,0.012844535003405962,0.0003807244642662896,0.003108003108003108
3,web-Stanford,Web Graphs,0.004760520970880135,0.013522889525439523,9.724895755398907e-06,0.021070615966122055,0.010204081632653059,0.011664074650077759,0.12559018339122047,0.00044704350112599275,0.00016474344079184155,0.0033653278605048948,0.13058113672800975,0.012254968155988144,0.00473186119873817,0.013209013209013208
4,web-arabic-2005,Web Graphs,0.002762672679074621,0.010217572531477112,2.182864760998601e-05,0.0006011447935242195,0.010204081632653059,0.015552099533437015,0.16428447850640826,0.0005962666318064183,0.000378634828898574,5.183634936783264e-05,0.14361707553424796,0.9478552430337784,0.0055476993364516475,0.07925407925407925
5,web-baidu-baike-related,Web Graphs,0.0070187033928278564,0.01920616253660712,6.351032188087305e-06,0.06932803249454905,0.010204081632653059,0.01088646967340591,0.25153559328372704,0.0007092515030342237,0.00017727916248084518,0.0033562538564517225,0.05145034714753605,0.0011934377428812351,0.01392363755031002,0.05128205128205128
6,web-baidu-baike,Web Graphs,0.036142047461059985,0.10399260057352712,1.2898504900530578e-06,0.0534320621830284,0.010204081632653059,0.011664074650077759,0.09846999297749613,0.0008477303610236043,4.114924088439084e-05,0.01182131295024239,0.028612895571900894,0.002923247278979951,0.004514304362014577,0.023310023310023312
7,web-edu,Web Graphs,5.113464881101472e-05,3.782330372336274e-05,0.00023578832222394386,5.673235800954521e-05,0.010204081632653059,0.0023328149300155523,0.11417846525369095,2.7674905815834906e-07,9.485456995540582e-06,4.607479727970168e-06,0.12510704916833165,0.2721920303445875,0.0016316762754269554,0.012432012432012432
8,web-frwikinews-user-edits,Web Graphs,0.0004228403142599067,0.0011321611843947694,0.00010326910405105689,0.017787776249762022,0.010204081632653059,0.01088646967340591,0.1007285396036065,2.9241682995160103e-05,0.00012130854610368466,0.002783992540640085,0.06577353695774138,0.001957083854730889,0.9863483084955944,0.02097902097902098
9,web-google-dir,Web Graphs,0.01478834983827401,0.029853001496102306,2.2179213720240384e-06,0.003465583369563853,0.010204081632653059,0.0077760497667185065,0.13302924482390868,0.0006385885645298233,7.575606090482865e-05,0.0004242052846294829,0.1333665217169556,0.0894949270643592,0.003535298596758403,0.013209013209013208
10,web-google,Web Graphs,2.1885899887409206e-05,1.6180748516163376e-05,0.0005501159473079568,3.218470310156892e-05,0.010204081632653059,0.0023328149300155523,0.13211595789766134,1.3944762644129187e-07,1.1152186398018083e-05,1.6650356951938083e-06,0.0772397169600032,0.5321125878623649,0.0009790057652561733,0.013986013986013986
11,web-hudong,Web Graphs,0.033346478383080524,0.08585826789408628,1.2506973089505898e-06,0.03358773795542037,0.010204081632653059,0.01010886469673406,0.10606416547778566,0.001275392687379486,6.709817957197548e-05,0.0028847844633316856,0.019796279500888102,0.0073647442226150005,0.02877189165669532,0.20745920745920746
12,web-indochina-2004,Web Graphs,0.00019175493304130517,0.0002783533174446609,0.00012344143843435836,0.00010855518503749517,0.010204081632653059,0.005443234836702955,0.16028279838531131,5.780362759971133e-06,5.287023908104877e-05,1.2994326192650093e-05,0.15742270395887895,0.5671304979309144,0.0027194604590449253,0.0271950271950272
13,web-it-2004,Web Graphs,0.008601276866630841,0.0419775924877726,9.246945966263828e-06,0.0002558411144853529,0.010204081632653059,0.020995334370139968,0.29552924678813564,0.009324506511804964,0.0019018568370780355,0.0008225452528510872,0.1809526766172685,0.9482913664567072,0.02349613836614816,0.3356643356643357
14,web-italycnr-2000,Web Graphs,0.005497717786995074,0.018295906254251686,9.865519397735326e-06,0.009970711920177571,0.010204081632653059,0.013996889580093312,0.11132907918458504,0.0008809485117694716,0.00028111339013570466,0.006343565755871586,0.1093183224269948,0.0120736168335639,0.00881105188730556,0.0101010101010101
15,web-polblogs,Web Graphs,1.0807851796251456e-05,1.3297803442629387e-05,0.0018474995027151376,9.000806799591308e-05,0.010204081632653059,0.004665629860031105,0.10647476746303763,8.265601220000804e-08,1.3354312041645925e-05,3.45340736780938e-06,0.05144923840420791,0.16089353286980212,0.0007070597193516808,0.006993006993006993
16,web-sk-2005,Web Graphs,0.00205043524570165,0.0019555665535004488,7.578612361756227e-06,0.0003218470310156892,0.010204081632653059,0.0031104199066874032,0.15341714977481324,2.7334293706972093e-05,2.3386677066211388e-05,3.066660981465422e-05,0.0517113453269795,0.4733369543580833,0.004459915152833678,0.041181041181041184
17,web-spam,Web Graphs,8.045094680834679e-05,0.00021852489747036836,0.0005502631271429426,0.00026020514202454876,0.010204081632653059,0.01088646967340591,0.1407178818343114,3.5499436504688537e-06,7.736318688593741e-05,5.526332759762307e-05,0.06341546164745954,0.14523410125065395,0.0019580115305123467,0.010878010878010878
18,web-uk-2005,Web Graphs,0.002189079719525439,0.06867633044669637,0.0002337629269947645,0.00046367792603955213,0.010204081632653059,0.13996889580093316,0.2973676060018603,0.02305469117660869,0.018475879956272773,0.001094615609330825,0.2191681764054985,1.0,0.027194604590449256,0.3885003885003885
19,web-webbase-2001,Web Graphs,0.0002711926437437534,0.00014962660364404489,3.317638013720239e-05,0.0009159002797887156,0.010204081632653059,0.0015552099533437016,0.12523313408739747,5.809859179770871e-07,3.757716646394532e-06,1.1998828660603e-05,0.04974177367887689,0.02493335613978756,0.0017948439029696508,0.006993006993006993
20,web-wiki-ch-internal,Web Graphs,0.03259693697374206,0.054699806882444836,8.309370745748866e-07,0.01609344255766926,0.010204081632653059,0.0062208398133748065,0.13338476988767928,0.0006422266580841155,3.4564343453218126e-05,0.005286682145919147,0.02466976079971439,0.009274234608394176,0.00696181877515501,0.0101010101010101
21,web-wikipedia2009,Web Graphs,0.03148512988200798,0.026357655733154985,4.249047048078568e-07,0.0014314010328562179,0.010204081632653059,0.0023328149300155523,0.14839111748323774,6.1027212075511656e-05,3.400437472354262e-06,0.00010927567599568254,0.035380221349518036,0.048482920666548635,0.0036440770151202,0.008547008547008548
31,socfb-A-anon,Facebook Networks,0.052302606070284,0.13840117573634367,8.164850182781576e-07,0.002681149419393411,0.010204081632653059,0.01088646967340591,0.1319606268366504,0.0015300284923990904,5.132077662226732e-05,0.0004426087744033446,0.021510928882985447,0.047712702694862635,0.004079190688567389,0.006993006993006993
32,socfb-American75,Facebook Networks,0.00010779143439917666,0.0012727997828095613,0.0017856003471148664,0.0005073182014315101,0.010204081632653059,0.052099533437014005,0.15108510963607286,4.036370430121524e-05,0.0006566291308380892,0.00015357091131544166,0.05325937276172441,0.1635912963368633,0.003100184923311215,0.006993006993006993
33,socfb-Amherst41,Facebook Networks,3.769238313942697e-05,0.0005318419645999374,0.006093353417373764,0.000254750107600554,0.010204081632653059,0.06220839813374806,0.14989178681318654,2.521132191026643e-05,0.0011718610903262894,0.00012897419353247278,0.06882768132942761,0.23320299644799475,0.003480909387577505,0.00777000777000777
34,socfb-Auburn71,Facebook Networks,0.0003114856662216534,0.00569520243905808,0.0009572805983055024,0.0028147977627812817,0.010204081632653059,0.08087091757387246,0.1408747833654184,0.00027817369121016923,0.0015664798314270068,0.0017530535345095827,0.049395180514501265,0.13674869988206662,0.005221364081366257,0.0101010101010101
35,socfb-B-anon,Facebook Networks,0.04960819173021008,0.12256813495663532,8.036218352000253e-07,0.002376212995092105,0.010204081632653059,0.01010886469673406,0.12309778377067768,0.0014305428741464615,5.0589977820587236e-05,0.00032473481883883053,0.020221172119096777,0.04834298106364101,0.003480909387577505,0.009324009324009324
36,socfb-BC17,Facebook Networks,0.0001943049105744833,0.002847630458322889,0.0012298576526991731,0.0007511582401840746,0.010204081632653059,0.0645412130637636,0.15265817251160355,9.674988034683756e-05,0.0008733149419150628,0.00024456643351468415,0.0465164393373263,0.14433484676163355,0.003807244642662896,0.009324009324009324
37,socfb-BU10,Facebook Networks,0.0003326285262980703,0.0037280748664696452,0.0005495121754848901,0.000992270761724642,0.010204081632653059,0.0489891135303266,0.14783915401848613,8.463683986920862e-05,0.0004463250451337255,0.00019818329629142813,0.04223247686607046,0.12086820570221372,0.0027738496682258237,0.009324009324009324
38,socfb-Baylor93,Facebook Networks,0.0002161570359250292,0.003975370737087655,0.0013873802160889574,0.001150466760020489,0.010204081632653059,0.08164852255054432,0.15308191124617318,0.00019184776857767105,0.0015566932810376858,0.00036000890838145495,0.04660292131692098,0.15542798612007194,0.005275753290547156,0.008547008547008548
39,socfb-Berkeley13,Facebook Networks,0.0003866677852793276,0.004984705596280582,0.0005437387119579479,0.0018732588211997914,0.010204081632653059,0.0567651632970451,0.14232934050532808,0.00014774605343444662,0.0006702525127327176,0.0006123719376117293,0.0459177179401323,0.11385222017831045,0.003535298596758403,0.011655011655011656
40,socfb-Bingham82,Facebook Networks,0.0001688895715848607,0.002122081484471809,0.0012130206140764245,0.0003016634036469087,0.010204081632653059,0.0552099533437014,0.16229558094523944,6.570531123736949e-05,0.0006823148728894954,0.00015550904810349793,0.049425338333026585,0.1598702432788479,0.003154574132492113,0.00777000777000777
41,socfb-Bowdoin47,Facebook Networks,3.797946670276489e-05,0.0004934397327583599,0.005568356255986975,0.00036548730640764714,0.010204081632653059,0.0567651632970451,0.1495423429958106,1.9549219982664014e-05,0.0009018183992323977,0.00019743447071422456,0.06402305299127864,0.21639724041903854,0.0032089633416730124,0.006993006993006993
42,socfb-Brandeis99,Facebook Networks,6.57759105412491e-05,0.0008044235441387606,0.0030292532277634877,0.0010757327884117613,0.010204081632653059,0.0536547433903577,0.13670102911345647,2.8034943738483753e-05,0.0007471639309368932,0.00054778793400609,0.05812099050693964,0.16411444438776174,0.003100184923311215,0.006993006993006993
43,socfb-Brown11,Facebook Networks,0.0001451798467068341,0.0022485802021811135,0.00173928887403809,0.0005864162005794338,0.010204081632653059,0.06842923794712286,0.15161408378951854,8.124356843360889e-05,0.0009814057168807619,0.00015832815615885248,0.04820416843141647,0.1450090375576288,0.0038616338518437945,0.00777000777000777
44,socfb-Bucknell39,Facebook Networks,6.456002721417082e-05,0.0009289632626601668,0.0036311518529303474,0.00027602474185413345,0.010204081632653059,0.06376360808709175,0.1555611741173983,3.6519869550111136e-05,0.0009916131926522953,8.913667282524315e-05,0.06174813343060709,0.20186812868041654,0.003263352550853911,0.006993006993006993
45,socfb-CMU,Facebook Networks,0.00011175994248061274,0.0014616648477992714,0.0019075756353593347,0.0004582228916155575,0.010204081632653059,0.05754276827371695,0.1599532796853215,6.35618405295157e-05,0.000997311715397846,0.00021200573547533865,0.06181731901428283,0.18530844228916785,0.003807244642662896,0.011655011655011656
46,socfb-Cal65,Facebook Networks,0.00018988044624539284,0.002054621739302868,0.00092919433729509,0.00022638392859578135,0.010204081632653059,0.047433903576982885,0.17082001129194752,5.834240502144515e-05,0.000538896889611874,7.261846156339981e-05,0.050443386456922014,0.16196483604860176,0.003480909387577505,0.014763014763014762
47,socfb-Caltech36,Facebook Networks,1.2935647618638464e-05,9.736518351793284e-05,0.009433616497357366,0.00013528485371506937,0.010204081632653059,0.03265940902021773,0.13045357769782245,3.2898138437648337e-06,0.00044442965324019895,3.482479419630225e-05,0.09076039834930294,0.2913654564241681,0.0019580115305123467,0.009324009324009324
48,socfb-Carnegie49,Facebook Networks,0.00011203013877551904,0.0014617116298694306,0.0018984437955977167,0.0004582228916155575,0.010204081632653059,0.05754276827371695,0.15996097945465845,6.35618405295157e-05,0.0009949074683816693,0.00021200573547533865,0.06166830391098122,0.18530844228916785,0.003807244642662896,0.011655011655011656
49,socfb-Colgate88,Facebook Networks,5.875080687368567e-05,0.0009066189764005859,0.004278726401886546,0.0004216741609747928,0.010204081632653059,0.06842923794712286,0.15123885360177144,3.910633686130054e-05,0.0011667462518678141,0.0001360572025215512,0.05926388312958328,0.2067165007697178,0.0035896878059393017,0.009324009324009324
50,socfb-Columbia2,Facebook Networks,0.0001987124876351421,0.0025983171109292824,0.001072962276106203,0.0018410741180982227,0.010204081632653059,0.05754276827371695,0.14036818411311314,9.042298084574499e-05,0.0007981056790001969,0.0010257677047914619,0.05107359616463508,0.12953465830830124,0.0036440770151202,0.00777000777000777
51,socfb-Cornell5,Facebook Networks,0.00031506576712916163,0.004624238050189747,0.0007597050498220867,0.0017216088642127375,0.010204081632653059,0.0645412130637636,0.14354679974801332,0.00016819150232169744,0.0009363763896687043,0.0006804093485851777,0.04857426695434861,0.13565338990934436,0.004623082780376374,0.0101010101010101
52,socfb-Dartmouth6,Facebook Networks,0.0001298799815077656,0.0017781280091470175,0.0017184160974401065,0.0005171372633947007,0.010204081632653059,0.06065318818040436,0.14768495435215326,6.267158244871302e-05,0.00084620682343873,0.00015434616603066415,0.05389867416472822,0.1510797555708265,0.0036440770151202,0.008547008547008548
53,socfb-Duke14,Facebook Networks,0.0001668799866414952,0.002961486321571787,0.001733836530151117,0.001029364995807806,0.010204081632653059,0.07853810264385691,0.1511846566539286,0.00014149911344449033,0.0014870825908130196,0.00036984935743717714,0.05444861085548418,0.16596996950136889,0.004677471989557272,0.006993006993006993
54,socfb-Emory27,Facebook Networks,0.00012592836069476115,0.0019298071761192784,0.001983841549851968,0.0005973262694274232,0.010204081632653059,0.067651632970451,0.15113308391318628,8.675111682574944e-05,0.001208076096608936,0.0002257224581071733,0.056734396100771474,0.1888714506205256,0.004024801479386489,0.00777000777000777
55,socfb-FSU53,Facebook Networks,0.0004683515026831843,0.0060512373840013725,0.00044992661963763435,0.001393761295330654,0.010204081632653059,0.0567651632970451,0.15632395412383154,0.00021623316321822792,0.0008098803451066938,0.000246231469209878,0.04813963956971889,0.15336140127656128,0.004459915152833678,0.018648018648018648
