,Graph,Collection,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Total triangles,Average triangles,Maximum triangles,Avg. clustering coef.,Frac. closed triangles,Maximum k-core,Max. clique (lb)
0,web-BerkStan-dir,Web Graphs,0.011571612285609373,0.044446410980743645,5.405836597816106e-06,0.0459804851598516,0.01020408163265306,0.016329704510108862,0.11291444597723985,0.0029561175630759217,0.0004481706144495864,0.0088499554404733,0.14296136472998777,0.011440237587237188,0.018329163493962797,0.013986013986013986
1,web-BerkStan,Web Graphs,0.011571612285609373,0.044446410980743645,5.405836597816106e-06,0.0459804851598516,0.01020408163265306,0.016329704510108862,0.11291444597723985,0.0029561175630759217,0.0004481706144495864,0.0088499554404733,0.14296136472998777,0.011440237587237188,0.018329163493962797,0.013986013986013986
2,web-EPA,Web Graphs,7.207486166625191e-05,5.239007081904867e-05,0.0001644239979857747,9.546310241990782e-05,0.01020408163265306,0.0023328149300155523,0.09292490194972307,2.8836052192279766e-08,7.013976003299502e-07,9.074004053172607e-07,0.015710560336703174,0.012844535003405962,0.00038072446426628957,0.003108003108003108
3,web-Stanford,Web Graphs,0.004760520970880135,0.013522889525439523,9.724895755398909e-06,0.021070615966122055,0.01020408163265306,0.01166407465007776,0.12559018339122047,0.00044704350112599275,0.00016474344079184155,0.003365327860504895,0.13058113672800975,0.012254968155988144,0.00473186119873817,0.013209013209013208
4,web-arabic-2005,Web Graphs,0.002762672679074621,0.010217572531477112,2.182864760998601e-05,0.0006011447935242195,0.01020408163265306,0.015552099533437015,0.16428447850640826,0.0005962666318064183,0.00037863482889857395,5.183634936783264e-05,0.14361707553424796,0.9478552430337785,0.005547699336451648,0.07925407925407925
5,web-baidu-baike-related,Web Graphs,0.007018703392827856,0.01920616253660712,6.351032188087305e-06,0.06932803249454905,0.01020408163265306,0.01088646967340591,0.25153559328372704,0.0007092515030342238,0.0001772791624808452,0.0033562538564517225,0.051450347147536046,0.0011934377428812351,0.013923637550310019,0.05128205128205128
6,web-baidu-baike,Web Graphs,0.03614204746105999,0.10399260057352713,1.2898504900530578e-06,0.0534320621830284,0.01020408163265306,0.01166407465007776,0.09846999297749613,0.0008477303610236042,4.114924088439084e-05,0.01182131295024239,0.028612895571900894,0.002923247278979951,0.0045143043620145765,0.023310023310023312
7,web-edu,Web Graphs,5.1134648811014716e-05,3.7823303723362744e-05,0.00023578832222394386,5.673235800954522e-05,0.01020408163265306,0.0023328149300155523,0.11417846525369095,2.767490581583491e-07,9.485456995540582e-06,4.607479727970168e-06,0.12510704916833165,0.2721920303445875,0.0016316762754269554,0.012432012432012432
8,web-frwikinews-user-edits,Web Graphs,0.0004228403142599067,0.0011321611843947692,0.00010326910405105688,0.017787776249762022,0.01020408163265306,0.01088646967340591,0.1007285396036065,2.92416829951601e-05,0.00012130854610368466,0.0027839925406400855,0.06577353695774137,0.001957083854730889,0.9863483084955945,0.02097902097902098
9,web-google-dir,Web Graphs,0.014788349838274008,0.029853001496102302,2.217921372024038e-06,0.0034655833695638534,0.01020408163265306,0.0077760497667185065,0.13302924482390868,0.0006385885645298234,7.575606090482865e-05,0.0004242052846294829,0.1333665217169556,0.0894949270643592,0.003535298596758403,0.013209013209013208
10,web-google,Web Graphs,2.1885899887409206e-05,1.6180748516163376e-05,0.0005501159473079568,3.218470310156892e-05,0.01020408163265306,0.0023328149300155523,0.13211595789766134,1.3944762644129184e-07,1.1152186398018083e-05,1.6650356951938085e-06,0.0772397169600032,0.5321125878623649,0.0009790057652561731,0.013986013986013986
11,web-hudong,Web Graphs,0.033346478383080524,0.08585826789408628,1.2506973089505898e-06,0.03358773795542037,0.01020408163265306,0.01010886469673406,0.10606416547778566,0.001275392687379486,6.709817957197548e-05,0.0028847844633316856,0.019796279500888105,0.007364744222615,0.028771891656695314,0.20745920745920746
12,web-indochina-2004,Web Graphs,0.0001917549330413052,0.0002783533174446609,0.00012344143843435836,0.00010855518503749517,0.01020408163265306,0.005443234836702955,0.16028279838531131,5.780362759971134e-06,5.287023908104877e-05,1.2994326192650093e-05,0.15742270395887895,0.5671304979309144,0.0027194604590449257,0.027195027195027196
13,web-it-2004,Web Graphs,0.00860127686663084,0.0419775924877726,9.246945966263828e-06,0.0002558411144853529,0.01020408163265306,0.020995334370139968,0.29552924678813564,0.009324506511804963,0.0019018568370780353,0.0008225452528510873,0.1809526766172685,0.9482913664567072,0.023496138366148157,0.3356643356643357
14,web-italycnr-2000,Web Graphs,0.005497717786995074,0.018295906254251686,9.865519397735326e-06,0.009970711920177571,0.01020408163265306,0.013996889580093312,0.11132907918458505,0.0008809485117694717,0.00028111339013570466,0.006343565755871586,0.10931832242699481,0.012073616833563899,0.00881105188730556,0.0101010101010101
15,web-polblogs,Web Graphs,1.0807851796251458e-05,1.3297803442629389e-05,0.0018474995027151376,9.000806799591308e-05,0.01020408163265306,0.004665629860031105,0.10647476746303763,8.265601220000804e-08,1.3354312041645925e-05,3.4534073678093806e-06,0.051449238404207905,0.16089353286980212,0.0007070597193516807,0.006993006993006993
