,Graph,Collection,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Total triangles,Average triangles,Maximum triangles,Avg. clustering coef.,Frac. closed triangles,Maximum k-core,Max. clique (lb),Chromatic Number
0,web-BerkStan-dir,Web Graphs,685230,7600595,3.24E-05,84290,1,22,-0.176889,322306034,470,1004568,0.6447,0.011437,337,18,
1,web-BerkStan,Web Graphs,685230,7600595,3.24E-05,84290,1,22,-0.176889,322306034,470,1004568,0.6447,0.011437,337,18,
2,web-EPA,Web Graphs,4271,8965,0.000983157,175,1,4,-0.304099,3144,0,103,0.0708485,0.0128409,7,4,
3,web-Stanford,Web Graphs,281903,2312497,5.82E-05,38626,1,16,-0.0962228,48741234,172,382002,0.58887,0.0122515,87,17,
4,web-arabic-2005,Web Graphs,163598,1747269,0.000130568,1102,1,21,0.150021,65011059,397,5884,0.647657,0.947587,102,102,
5,web-baidu-baike-related,Web Graphs,415624,3284369,3.80E-05,127090,1,15,0.705272,77329820,186,380972,0.232021,0.0011931,256,66,
6,web-baidu-baike,Web Graphs,2140198,17783332,7.76E-06,97950,1,16,-0.268811,92428195,43,1341850,0.129033,0.00292242,83,30,
7,web-edu,Web Graphs,3031,6474,0.00140985,104,1,4,-0.168845,30174,9,523,0.564184,0.272115,30,16,
8,web-frwikinews-user-edits,Web Graphs,25042,193612,0.000617507,32608,1,15,-0.254438,3188226,127,316014,0.296613,0.00195653,18135,27,
9,web-google-dir,Web Graphs,875713,5105039,1.33E-05,6353,1,11,-0.0488819,69625427,79,48152,0.601431,0.0894696,65,17,
10,web-google,Web Graphs,1299,2773,0.00328924,59,1,4,-0.0546939,15204,11,189,0.348321,0.531962,18,18,
11,web-hudong,Web Graphs,1974655,14682258,7.53E-06,61572,1,14,-0.220483,139056296,70,327455,0.0892735,0.00736266,529,267,
12,web-indochina-2004,Web Graphs,11358,47606,0.000738119,199,1,8,0.124555,630234,55,1475,0.709915,0.56697,50,35,
13,web-it-2004,Web Graphs,509338,7178413,5.53E-05,469,1,28,0.98524,1016652636,1996,93368,0.816026,0.948023,432,432,
14,web-italycnr-2000,Web Graphs,325557,3128710,5.90E-05,18278,1,19,-0.186978,96049976,295,720065,0.492983,0.0120702,162,13,
