,Graph,Collection,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Total triangles,Average triangles,Maximum triangles,Avg. clustering coef.,Frac. closed triangles,Maximum k-core,Max. clique (lb)
670,C1000-9,DIMACS,1000,450079.0,0.901059,925.0,868.0,900.0,-0.00189322,364690125.0,364690.0,385020.0,0.9010549999999999,0.9010549999999999,875.0,53.0
671,C125-9,DIMACS,125,6963.0,0.898452,119.0,102.0,111.0,-0.0221299,691857.0,5534.0,6304.0,0.898969,0.89891,103.0,32.0
672,C2000-5,DIMACS,2000,999836.0,0.5001680000000001,1074.0,919.0,999.0,-0.00167095,499720680.0,249860.0,287843.0,0.500145,0.5001439999999999,941.0,14.0
673,C2000-9,DIMACS,2000,1799532.0,0.900216,1848.0,1751.0,1799.0,-0.000695888,2913717543.0,1460000.0,1536368.0,0.900214,0.900214,1759.0,56.0
674,C250-9,DIMACS,250,27984.0,0.899084,236.0,203.0,223.0,-0.00713806,5609913.0,22439.0,24899.0,0.899072,0.899069,211.0,40.0
675,C4000-5,DIMACS,4000,4000268.0,0.500159,2123.0,1895.0,2000.0,-0.0006584239999999999,4000751394.0,1000000.0,1125666.0,0.500155,0.500155,1910.0,15.0
676,C500-9,DIMACS,500,112332.0,0.900457,468.0,431.0,449.0,-0.00326335,45359556.0,90719.0,98438.0,0.9004770000000001,0.900476,433.0,49.0
677,DSJC1000-5,DIMACS,1000,249826.0,0.500152,551.0,447.0,499.0,-0.0027059000000000002,62378964.0,62378.0,75982.0,0.5002300000000001,0.500228,460.0,14.0
678,DSJC500-5,DIMACS,500,62624.0,0.501996,286.0,220.0,250.0,-0.00624228,7856550.0,15713.0,20527.0,0.5018640000000001,0.501859,226.0,12.0
679,MANN-a27,DIMACS,378,70551.0,0.9901479999999999,374.0,364.0,373.0,0.00190985,26008398.0,68805.0,69067.0,0.9901770000000001,0.9901780000000001,365.0,120.0
680,MANN-a45,DIMACS,1035,533115.0,0.9963,1031.0,1012.0,1030.0,0.0008012480000000001,546656220.0,528170.0,529012.0,0.9963190000000001,0.9963190000000001,1013.0,334.0
681,MANN-a81,DIMACS,3321,5506380.0,0.998825,3317.0,3280.0,3316.0,0.000272065,18232876440.0,5490000.0,5493151.0,0.9988299999999999,0.9988299999999999,3281.0,1082.0
682,MANN-a9,DIMACS,45,918.0,0.9272729999999999,41.0,40.0,40.0,0.00487805,33732.0,749.0,757.0,0.9231520000000001,0.9231530000000001,41.0,16.0
683,brock200-1,DIMACS,200,14834.0,0.7454270000000001,165.0,130.0,148.0,-0.00386832,1631100.0,8155.0,10123.0,0.745099,0.745111,135.0,18.0
684,brock200-2,DIMACS,200,9876.0,0.496281,114.0,78.0,98.0,-0.011974,479688.0,2398.0,3163.0,0.494667,0.49462,85.0,10.0
685,brock200-3,DIMACS,200,12048.0,0.605427,134.0,99.0,120.0,-0.0086259,873387.0,4366.0,5404.0,0.604975,0.605011,106.0,13.0
686,brock200-4,DIMACS,200,13089.0,0.6577390000000001,147.0,112.0,130.0,-0.0171309,1120308.0,5601.0,7031.0,0.657421,0.657343,118.0,14.0
687,brock400-1,DIMACS,400,59723.0,0.748409,320.0,272.0,298.0,-0.00281946,13311033.0,33277.0,38113.0,0.7482949999999999,0.748294,278.0,22.0
688,brock400-2,DIMACS,400,59786.0,0.7491979999999999,328.0,274.0,298.0,-0.00471088,13350273.0,33375.0,40148.0,0.7489640000000001,0.748958,279.0,22.0
689,brock400-3,DIMACS,400,59681.0,0.7478819999999999,322.0,275.0,298.0,-0.00542182,13281468.0,33203.0,38587.0,0.7477090000000001,0.747703,279.0,21.0
690,brock400-4,DIMACS,400,59765.0,0.748935,326.0,275.0,298.0,-0.00656624,13337715.0,33344.0,39654.0,0.74876,0.748751,278.0,22.0
691,brock800-1,DIMACS,800,207505.0,0.649265,560.0,477.0,518.0,-0.00041811699999999997,69786183.0,87232.0,101485.0,0.649145,0.649147,488.0,19.0
692,brock800-2,DIMACS,800,208166.0,0.6513329999999999,566.0,472.0,520.0,-0.00183833,70468920.0,88086.0,104016.0,0.6512939999999999,0.651292,487.0,19.0
693,brock800-3,DIMACS,800,207333.0,0.648727,558.0,474.0,518.0,-0.00256087,69627666.0,87034.0,100803.0,0.648701,0.648701,484.0,20.0
694,brock800-4,DIMACS,800,207643.0,0.649696,565.0,481.0,519.0,-0.00383331,69940425.0,87425.0,103277.0,0.6496850000000001,0.6496810000000001,486.0,19.0
695,c-fat200-1,DIMACS,200,1534.0,0.0770854,17.0,14.0,15.0,0.970722,16230.0,81.0,100.0,0.730116,0.731147,15.0,12.0
696,c-fat200-2,DIMACS,200,3235.0,0.162563,34.0,32.0,32.0,0.8383709999999999,76758.0,383.0,429.0,0.756422,0.756505,33.0,24.0
697,c-fat200-5,DIMACS,200,8473.0,0.425779,86.0,83.0,84.0,0.727163,546252.0,2731.0,2814.0,0.769837,0.769857,84.0,58.0
698,c-fat500-1,DIMACS,500,4459.0,0.0357435,20.0,17.0,17.0,0.984341,55704.0,111.0,141.0,0.73731,0.737821,18.0,14.0
699,c-fat500-10,DIMACS,500,46627.0,0.373764,188.0,185.0,186.0,0.798901,6696744.0,13393.0,13609.0,0.774187,0.774191,186.0,126.0
700,c-fat500-2,DIMACS,500,9139.0,0.0732585,38.0,35.0,36.0,0.974815,247008.0,494.0,534.0,0.758876,0.758955,36.0,26.0
701,c-fat500-5,DIMACS,500,23191.0,0.1859,95.0,92.0,92.0,0.894711,1639962.0,3279.0,3441.0,0.770505,0.770514,93.0,64.0
702,gen200-p0-9-44,DIMACS,200,17910.0,0.9,190.0,165.0,179.0,-0.0145561,2874090.0,14370.0,16160.0,0.900302,0.900272,168.0,36.0
703,gen200-p0-9-55,DIMACS,200,17910.0,0.9,190.0,164.0,179.0,-0.0106211,2874231.0,14371.0,16144.0,0.9003909999999999,0.9003709999999999,167.0,40.0
704,gen400-p0-9-55,DIMACS,400,71820.0,0.9,375.0,334.0,359.0,-0.012582600000000001,23172633.0,57931.0,63157.0,0.9004559999999999,0.9004340000000001,337.0,45.0
705,gen400-p0-9-65,DIMACS,400,71820.0,0.9,378.0,333.0,359.0,-0.015822299999999997,23173404.0,57933.0,64133.0,0.90054,0.9005120000000001,337.0,45.0
706,gen400-p0-9-75,DIMACS,400,71820.0,0.9,380.0,335.0,359.0,-0.0118692,23175867.0,57939.0,64832.0,0.9006040000000001,0.900584,337.0,47.0
707,hamming10-2,DIMACS,1024,518656.0,0.990225,1013.0,1013.0,1013.0,1.0,519739392.0,507558.0,507558.0,0.9902059999999999,0.9902059999999999,1014.0,352.0
715,johnson8-2-4,DIMACS,28,420.0,1.1111,15.0,0.0,15.0,-0.04,1170.0,41.79,45.0,0.39799999999999996,0.413,15.0,6.0
716,johnson8-4-4,DIMACS,70,1855.0,0.768116,53.0,53.0,53.0,1.0,71820.0,1026.0,1026.0,0.744557,0.744557,54.0,14.0
717,keller4,DIMACS,171,9435.0,0.649123,124.0,102.0,110.0,-0.0709832,649791.0,3799.0,4770.0,0.627437,0.62698,103.0,9.0
718,keller5,DIMACS,776,225990.0,0.751546,638.0,560.0,582.0,-0.0317441,98043630.0,126344.0,151289.0,0.745269,0.7451979999999999,561.0,19.0
719,keller6,DIMACS,3361,4619898.0,0.818191,2952.0,2690.0,2749.0,-0.016806799999999997,10364090178.0,3080000.0,3552972.0,0.816014,0.816001,2691.0,37.0
720,p-hat1000-1,DIMACS,1000,122253.0,0.24475100000000002,408.0,105.0,244.0,-0.09347380000000001,9216417.0,9216.0,22689.0,0.29183899999999996,0.283975,164.0,10.0
721,p-hat1000-2,DIMACS,1000,244799.0,0.490088,766.0,232.0,489.0,-0.09855850000000001,73970454.0,73970.0,157604.0,0.58458,0.568367,328.0,42.0
722,p-hat1000-3,DIMACS,1000,371746.0,0.744236,895.0,582.0,743.0,-0.012969899999999998,211389723.0,211389.0,301774.0,0.758679,0.7583300000000001,610.0,57.0
723,p-hat1500-1,DIMACS,1500,284923.0,0.253434,614.0,157.0,379.0,-0.0913078,34315488.0,22876.0,53239.0,0.300315,0.292669,253.0,11.0
724,p-hat1500-2,DIMACS,1500,568960.0,0.50608,1153.0,335.0,758.0,-0.09314460000000001,273516924.0,182344.0,372336.0,0.600106,0.5848399999999999,505.0,55.0
725,p-hat1500-3,DIMACS,1500,847244.0,0.753608,1330.0,912.0,1129.0,-0.0108833,741196644.0,494131.0,675776.0,0.767997,0.767701,930.0,77.0
726,p-hat300-3,DIMACS,300,33390.0,0.744482,267.0,168.0,222.0,-0.0204908,5664621.0,18882.0,26733.0,0.758296,0.757799,181.0,33.0
727,p-hat500-1,DIMACS,500,31569.0,0.253058,204.0,52.0,126.0,-0.0893164,1257282.0,2514.0,5737.0,0.29953,0.291912,87.0,9.0
728,p-hat500-2,DIMACS,500,62946.0,0.504577,389.0,117.0,251.0,-0.0987148,9957924.0,19915.0,40865.0,0.597255,0.581438,171.0,33.0
729,p-hat500-3,DIMACS,500,93800.0,0.751904,452.0,293.0,375.0,-0.0149695,27160053.0,54320.0,77235.0,0.766414,0.766019,304.0,45.0
