,Graph,Collection,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Total triangles,Average triangles,Maximum triangles,Avg. clustering coef.,Frac. closed triangles,Maximum k-core,Max. clique (lb)
945,ENZYMES-g460,Cheminformatics,28.0,130.0,0.3439,7.0,0.0,4.64,-0.04,73.0,2.61,6.0,0.29600000000000004,0.284,3.0,2.0
634,ENZYMES-g180,Cheminformatics,38.0,120.0,0.1707,7.0,0.0,3.16,-0.03,20.0,0.53,2.0,0.155,0.131,3.0,1.0
1009,ENZYMES-g518,Cheminformatics,27.0,112.0,0.3191,5.0,0.0,4.15,-0.04,92.0,3.41,6.0,0.551,0.514,3.0,2.0
856,ENZYMES-g380,Cheminformatics,36.0,122.0,0.1937,5.0,0.0,3.39,-0.03,50.0,1.39,5.0,0.303,0.33799999999999997,3.0,2.0
791,ENZYMES-g321,Cheminformatics,21.0,84.0,0.4,6.0,0.0,4.0,-0.04,69.0,3.29,6.0,0.619,0.527,3.0,2.0
998,ENZYMES-g508,Cheminformatics,21.0,96.0,0.4571,6.0,0.0,4.57,-0.04,77.0,3.67,6.0,0.444,0.44,3.0,2.0
734,ENZYMES-g270,Cheminformatics,32.0,120.0,0.2419,6.0,0.0,3.75,-0.04,92.0,2.88,5.0,0.608,0.5579999999999999,3.0,2.0
632,ENZYMES-g179,Cheminformatics,40.0,118.0,0.1513,7.0,0.0,2.95,-0.01,20.0,0.5,2.0,0.155,0.141,2.0,1.0
887,ENZYMES-g408,Cheminformatics,33.0,132.0,0.25,8.0,0.0,4.0,-0.05,97.0,2.94,10.0,0.44799999999999995,0.46,3.0,2.0
886,ENZYMES-g407,Cheminformatics,30.0,120.0,0.2759,5.0,0.0,4.0,-0.01,50.0,1.67,4.0,0.294,0.26899999999999996,3.0,1.0
1110,ENZYMES-g69,Cheminformatics,28.0,110.0,0.29100000000000004,6.0,0.0,3.93,-0.04,88.0,3.14,7.0,0.574,0.5329999999999999,3.0,2.0
648,ENZYMES-g193,Cheminformatics,30.0,120.0,0.2759,6.0,0.0,4.0,-0.06,89.0,2.97,7.5,0.48,0.478,3.0,2.0
815,ENZYMES-g343,Cheminformatics,24.0,90.0,0.3261,5.0,0.0,3.75,-0.04,72.0,3.0,6.0,0.5770000000000001,0.5760000000000001,3.0,2.0
593,ENZYMES-g143,Cheminformatics,39.0,122.0,0.1646,6.0,0.0,3.13,-0.05,20.0,0.51,4.0,0.063,0.12300000000000001,3.0,1.0
1054,ENZYMES-g559,Cheminformatics,38.0,134.0,0.1906,6.0,0.0,3.53,-0.03,34.0,0.89,6.0,0.205,0.19899999999999998,3.0,2.0
899,ENZYMES-g419,Cheminformatics,27.0,102.0,0.2906,7.0,0.0,3.78,-0.05,37.0,1.37,5.0,0.184,0.248,3.0,1.0
792,ENZYMES-g322,Cheminformatics,29.0,114.0,0.2808,6.0,0.0,3.93,-0.04,81.0,2.79,5.0,0.5329999999999999,0.46,3.0,2.0
888,ENZYMES-g409,Cheminformatics,32.0,120.0,0.2419,6.0,0.0,3.75,-0.05,61.0,1.91,8.0,0.36,0.359,3.0,2.0
1139,ENZYMES-g95,Cheminformatics,32.0,128.0,0.2581,5.0,0.0,4.0,-0.03,87.0,2.72,5.0,0.48100000000000004,0.46,3.0,2.0
903,ENZYMES-g422,Cheminformatics,27.0,114.0,0.3248,7.0,0.0,4.22,-0.05,56.0,2.07,5.5,0.261,0.289,3.0,2.0
912,ENZYMES-g430,Cheminformatics,37.0,114.0,0.1712,7.0,0.0,3.08,-0.07,17.0,0.46,5.0,0.055999999999999994,0.121,3.0,1.0
972,ENZYMES-g485,Cheminformatics,39.0,144.0,0.1943,7.0,0.0,3.69,-0.04,54.0,1.38,5.0,0.243,0.262,3.0,2.0
787,ENZYMES-g318,Cheminformatics,27.0,106.0,0.302,7.0,0.0,3.93,-0.01,80.0,2.96,8.0,0.486,0.48200000000000004,3.0,2.0
714,ENZYMES-g252,Cheminformatics,32.0,120.0,0.2419,5.0,0.0,3.75,-0.02,93.0,2.91,5.0,0.579,0.544,3.0,2.0
1042,ENZYMES-g548,Cheminformatics,25.0,90.0,0.3,5.0,0.0,3.6,-0.05,65.0,2.6,5.0,0.5529999999999999,0.58,3.0,2.0
892,ENZYMES-g412,Cheminformatics,36.0,136.0,0.2159,6.0,0.0,3.78,-0.03,63.0,1.75,6.0,0.319,0.318,3.0,2.0
788,ENZYMES-g319,Cheminformatics,25.0,90.0,0.3,5.0,0.0,3.6,-0.06,67.0,2.68,6.0,0.581,0.588,3.0,2.0
836,ENZYMES-g362,Cheminformatics,19.0,82.0,0.4795,6.0,0.0,4.32,-0.04,75.0,3.95,7.0,0.579,0.54,3.0,2.0
672,ENZYMES-g214,Cheminformatics,23.0,102.0,0.4032,8.0,0.0,4.43,-0.04,86.0,3.74,10.0,0.39899999999999997,0.439,3.0,2.0
865,ENZYMES-g389,Cheminformatics,28.0,110.0,0.29100000000000004,6.0,0.0,3.93,-0.03,87.0,3.11,7.0,0.531,0.521,3.0,2.0
