Graph,Collection,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Total triangles,Average triangles,Maximum triangles,Avg. clustering coef.,Frac. closed triangles,Maximum k-core,Max. clique (lb)
b_1_1_10,Synthetic,,,,,,,,,,,,,,
b_1_2_60,Synthetic,,,,,,,,,,,,,,
b_1_3_40,Synthetic,,,,,,,,,,,,,,
b_1_4_40,Synthetic,,,,,,,,,,,,,,
b_1_5_10,Synthetic,,,,,,,,,,,,,,
b_1_6_60,Synthetic,,,,,,,,,,,,,,
b_1_7_40,Synthetic,,,,,,,,,,,,,,
b_1_8_10,Synthetic,,,,,,,,,,,,,,
b_1_9_60,Synthetic,,,,,,,,,,,,,,
b_1_10_60,Synthetic,,,,,,,,,,,,,,
b_1_11_40,Synthetic,,,,,,,,,,,,,,
b_1_12_10,Synthetic,,,,,,,,,,,,,,
b_1_13_10,Synthetic,,,,,,,,,,,,,,
b_1_14_40,Synthetic,,,,,,,,,,,,,,
b_1_15_60,Synthetic,,,,,,,,,,,,,,
b_1_16_40,Synthetic,,,,,,,,,,,,,,
b_1_17_10,Synthetic,,,,,,,,,,,,,,
b_1_18_40,Synthetic,,,,,,,,,,,,,,
b_1_19_60,Synthetic,,,,,,,,,,,,,,
b_1_20_10,Synthetic,,,,,,,,,,,,,,
b_1_21_60,Synthetic,,,,,,,,,,,,,,
b_1_22_10,Synthetic,,,,,,,,,,,,,,
b_1_23_60,Synthetic,,,,,,,,,,,,,,
b_1_24_40,Synthetic,,,,,,,,,,,,,,
b_1_25_60,Synthetic,,,,,,,,,,,,,,
b_2_1_100,Synthetic,,,,,,,,,,,,,,
b_2_2_60,Synthetic,,,,,,,,,,,,,,
b_2_3_60,Synthetic,,,,,,,,,,,,,,
b_2_4_100,Synthetic,,,,,,,,,,,,,,
b_2_5_60,Synthetic,,,,,,,,,,,,,,
b_2_6_100,Synthetic,,,,,,,,,,,,,,
b_2_7_100,Synthetic,,,,,,,,,,,,,,
b_2_8_40,Synthetic,,,,,,,,,,,,,,
b_2_9_60,Synthetic,,,,,,,,,,,,,,
b_2_10_40,Synthetic,,,,,,,,,,,,,,
b_2_11_40,Synthetic,,,,,,,,,,,,,,
b_2_12_100,Synthetic,,,,,,,,,,,,,,
b_2_13_60,Synthetic,,,,,,,,,,,,,,
b_2_14_40,Synthetic,,,,,,,,,,,,,,
b_2_15_60,Synthetic,,,,,,,,,,,,,,
b_2_16_100,Synthetic,,,,,,,,,,,,,,
b_2_17_40,Synthetic,,,,,,,,,,,,,,
b_2_18_40,Synthetic,,,,,,,,,,,,,,
b_2_19_40,Synthetic,,,,,,,,,,,,,,
b_2_20_60,Synthetic,,,,,,,,,,,,,,
b_2_21_60,Synthetic,,,,,,,,,,,,,,
b_2_22_40,Synthetic,,,,,,,,,,,,,,
b_2_23_40,Synthetic,,,,,,,,,,,,,,
b_2_24_60,Synthetic,,,,,,,,,,,,,,
b_2_25_40,Synthetic,,,,,,,,,,,,,,
