Graph,Collection,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Total triangles,Average triangles,Maximum triangles,Avg. clustering coef.,Frac. closed triangles,Maximum k-core,Max. clique (lb)
b_3_1_40,Synthetic,,,,,,,,,,,,,,
b_3_2_10,Synthetic,,,,,,,,,,,,,,
b_3_3_60,Synthetic,,,,,,,,,,,,,,
b_3_4_60,Synthetic,,,,,,,,,,,,,,
b_3_5_40,Synthetic,,,,,,,,,,,,,,
b_3_6_60,Synthetic,,,,,,,,,,,,,,
b_3_7_60,Synthetic,,,,,,,,,,,,,,
b_3_8_60,Synthetic,,,,,,,,,,,,,,
b_3_9_60,Synthetic,,,,,,,,,,,,,,
b_3_10_40,Synthetic,,,,,,,,,,,,,,
b_3_11_40,Synthetic,,,,,,,,,,,,,,
b_3_12_10,Synthetic,,,,,,,,,,,,,,
b_3_13_60,Synthetic,,,,,,,,,,,,,,
b_3_14_60,Synthetic,,,,,,,,,,,,,,
b_3_15_40,Synthetic,,,,,,,,,,,,,,
b_3_16_60,Synthetic,,,,,,,,,,,,,,
b_3_17_60,Synthetic,,,,,,,,,,,,,,
b_3_18_60,Synthetic,,,,,,,,,,,,,,
b_3_19_60,Synthetic,,,,,,,,,,,,,,
b_3_20_40,Synthetic,,,,,,,,,,,,,,
b_3_21_10,Synthetic,,,,,,,,,,,,,,
b_3_22_60,Synthetic,,,,,,,,,,,,,,
b_3_23_60,Synthetic,,,,,,,,,,,,,,
b_3_24_10,Synthetic,,,,,,,,,,,,,,
b_3_25_40,Synthetic,,,,,,,,,,,,,,
