Graph,Collection,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Total triangles,Average triangles,Maximum triangles,Avg. clustering coef.,Frac. closed triangles,Maximum k-core,Max. clique (lb)
b_1_1_10,Synthetic,,,,,,,,,,,,,,
b_1_2_60,Synthetic,,,,,,,,,,,,,,
b_1_3_40,Synthetic,,,,,,,,,,,,,,
b_1_4_40,Synthetic,,,,,,,,,,,,,,
b_1_5_10,Synthetic,,,,,,,,,,,,,,
b_1_6_60,Synthetic,,,,,,,,,,,,,,
b_1_7_40,Synthetic,,,,,,,,,,,,,,
b_1_8_10,Synthetic,,,,,,,,,,,,,,
b_1_9_60,Synthetic,,,,,,,,,,,,,,
b_1_10_60,Synthetic,,,,,,,,,,,,,,
b_1_11_40,Synthetic,,,,,,,,,,,,,,
b_1_12_10,Synthetic,,,,,,,,,,,,,,
b_1_13_10,Synthetic,,,,,,,,,,,,,,
b_1_14_40,Synthetic,,,,,,,,,,,,,,
b_1_15_60,Synthetic,,,,,,,,,,,,,,
b_1_16_40,Synthetic,,,,,,,,,,,,,,
b_1_17_10,Synthetic,,,,,,,,,,,,,,
b_1_18_40,Synthetic,,,,,,,,,,,,,,
b_1_19_60,Synthetic,,,,,,,,,,,,,,
b_1_20_10,Synthetic,,,,,,,,,,,,,,
b_1_21_60,Synthetic,,,,,,,,,,,,,,
b_1_22_10,Synthetic,,,,,,,,,,,,,,
b_1_23_60,Synthetic,,,,,,,,,,,,,,
b_1_24_40,Synthetic,,,,,,,,,,,,,,
b_1_25_60,Synthetic,,,,,,,,,,,,,,
b_2_1_100,Synthetic,,,,,,,,,,,,,,
b_2_2_60,Synthetic,,,,,,,,,,,,,,
b_2_3_60,Synthetic,,,,,,,,,,,,,,
b_2_4_100,Synthetic,,,,,,,,,,,,,,
b_2_5_60,Synthetic,,,,,,,,,,,,,,
b_2_6_100,Synthetic,,,,,,,,,,,,,,
b_2_7_100,Synthetic,,,,,,,,,,,,,,
b_2_8_40,Synthetic,,,,,,,,,,,,,,
b_2_9_60,Synthetic,,,,,,,,,,,,,,
b_2_10_40,Synthetic,,,,,,,,,,,,,,
b_2_11_40,Synthetic,,,,,,,,,,,,,,
b_2_12_100,Synthetic,,,,,,,,,,,,,,
b_2_13_60,Synthetic,,,,,,,,,,,,,,
b_2_14_40,Synthetic,,,,,,,,,,,,,,
b_2_15_60,Synthetic,,,,,,,,,,,,,,
b_2_16_100,Synthetic,,,,,,,,,,,,,,
b_2_17_40,Synthetic,,,,,,,,,,,,,,
b_2_18_40,Synthetic,,,,,,,,,,,,,,
b_2_19_40,Synthetic,,,,,,,,,,,,,,
b_2_20_60,Synthetic,,,,,,,,,,,,,,
b_2_21_60,Synthetic,,,,,,,,,,,,,,
b_2_22_40,Synthetic,,,,,,,,,,,,,,
b_2_23_40,Synthetic,,,,,,,,,,,,,,
b_2_24_60,Synthetic,,,,,,,,,,,,,,
b_2_25_40,Synthetic,,,,,,,,,,,,,,
b_3_1_40,Synthetic,,,,,,,,,,,,,,
b_3_2_10,Synthetic,,,,,,,,,,,,,,
b_3_3_60,Synthetic,,,,,,,,,,,,,,
b_3_4_60,Synthetic,,,,,,,,,,,,,,
b_3_5_40,Synthetic,,,,,,,,,,,,,,
b_3_6_60,Synthetic,,,,,,,,,,,,,,
b_3_7_60,Synthetic,,,,,,,,,,,,,,
b_3_8_60,Synthetic,,,,,,,,,,,,,,
b_3_9_60,Synthetic,,,,,,,,,,,,,,
b_3_10_40,Synthetic,,,,,,,,,,,,,,
b_3_11_40,Synthetic,,,,,,,,,,,,,,
b_3_12_10,Synthetic,,,,,,,,,,,,,,
b_3_13_60,Synthetic,,,,,,,,,,,,,,
b_3_14_60,Synthetic,,,,,,,,,,,,,,
b_3_15_40,Synthetic,,,,,,,,,,,,,,
b_3_16_60,Synthetic,,,,,,,,,,,,,,
b_3_17_60,Synthetic,,,,,,,,,,,,,,
b_3_18_60,Synthetic,,,,,,,,,,,,,,
b_3_19_60,Synthetic,,,,,,,,,,,,,,
b_3_20_40,Synthetic,,,,,,,,,,,,,,
b_3_21_10,Synthetic,,,,,,,,,,,,,,
b_3_22_60,Synthetic,,,,,,,,,,,,,,
b_3_23_60,Synthetic,,,,,,,,,,,,,,
b_3_24_10,Synthetic,,,,,,,,,,,,,,
b_3_25_40,Synthetic,,,,,,,,,,,,,,
er_1_1_20,Synthetic,,,,,,,,,,,,,,
er_1_2_20,Synthetic,,,,,,,,,,,,,,
er_1_3_20,Synthetic,,,,,,,,,,,,,,
er_1_4_5,Synthetic,,,,,,,,,,,,,,
er_1_5_20,Synthetic,,,,,,,,,,,,,,
er_1_6_20,Synthetic,,,,,,,,,,,,,,
er_1_7_20,Synthetic,,,,,,,,,,,,,,
er_1_8_20,Synthetic,,,,,,,,,,,,,,
er_1_9_10,Synthetic,,,,,,,,,,,,,,
er_1_10_10,Synthetic,,,,,,,,,,,,,,
er_1_11_5,Synthetic,,,,,,,,,,,,,,
er_1_12_20,Synthetic,,,,,,,,,,,,,,
er_1_13_5,Synthetic,,,,,,,,,,,,,,
er_1_14_5,Synthetic,,,,,,,,,,,,,,
er_1_15_5,Synthetic,,,,,,,,,,,,,,
er_1_16_10,Synthetic,,,,,,,,,,,,,,
er_1_17_10,Synthetic,,,,,,,,,,,,,,
er_1_18_10,Synthetic,,,,,,,,,,,,,,
er_1_19_10,Synthetic,,,,,,,,,,,,,,
er_1_20_20,Synthetic,,,,,,,,,,,,,,
er_1_21_10,Synthetic,,,,,,,,,,,,,,
er_1_22_10,Synthetic,,,,,,,,,,,,,,
