Graph,Collection,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Total triangles,Average triangles,Maximum triangles,Avg. clustering coef.,Frac. closed triangles,Maximum k-core,Max. clique (lb)
er_1_1_20,Synthetic,862,74240,0.200058746,211,132,172.25058,-0.004357176,2553522,2962.322506,4351,0.199928615,0.199917168,146,7
er_1_2_20,Synthetic,1033,106899,0.20055044,245,163,206.9680542,0.00615902,4438329,4296.543078,6031,0.200715002,0.200742057,179,7
er_1_4_5,Synthetic,970,23747,0.050529295,73,28,48.9628866,0.000764969,59391,61.22783505,133,0.05108901,0.051085121,38,5
er_1_3_20,Synthetic,1017,103216,0.199784761,247,157,202.9813176,-0.00413192,4181928,4112.023599,6086,0.199826695,0.199802067,176,8
er_1_6_20,Synthetic,803,64327,0.199771431,199,128,160.2166874,-0.00028373,2058846,2563.942715,3917,0.200001344,0.200009618,137,7
er_1_5_20,Synthetic,1050,110029,0.199789369,252,169,209.5790476,-0.007121466,4602897,4383.711429,6299,0.199852224,0.199831353,182,8
er_1_7_20,Synthetic,832,69514,0.20108419,207,128,167.1009615,-0.006562056,2335029,2806.52524,4279,0.201266075,0.201246524,143,8
er_1_9_10,Synthetic,1056,55765,0.100109507,136,80,105.6155303,-0.001843383,586950,555.8238636,961,0.099847843,0.099806814,88,6
er_1_10_10,Synthetic,804,32127,0.099524172,109,52,79.91791045,-0.005014061,255114,317.3059701,607,0.099579577,0.099567796,65,5
er_1_11_5,Synthetic,917,20841,0.049623083,67,23,45.45474373,-0.000926053,47358,51.64449291,111,0.050073535,0.050006072,35,4
er_1_8_20,Synthetic,1040,107852,0.199622418,257,163,207.4076923,-0.003587066,4458531,4287.049038,6509,0.199494554,0.199482178,180,8
er_1_13_5,Synthetic,1043,27241,0.050130382,73,31,52.2358581,0.00209839,72519,69.52924257,155,0.050976171,0.051026454,41,4
er_1_14_5,Synthetic,829,17092,0.049800994,61,23,41.23522316,-0.015381484,34920,42.12303981,101,0.049728648,0.049633082,32,4
er_1_15_5,Synthetic,826,17099,0.050184166,61,23,41.40193705,-0.017014906,35712,43.23486683,111,0.050531257,0.050521527,32,5
er_1_12_20,Synthetic,827,68610,0.200877761,202,127,165.9250302,-0.00146093,2281509,2758.777509,4120,0.200708509,0.200697508,143,7
er_1_16_10,Synthetic,1126,63502,0.10025972,141,78,112.7921847,-0.002290784,716841,636.6261101,1018,0.100196431,0.10020242,94,6
er_1_17_10,Synthetic,895,40084,0.100193719,117,60,89.57318436,-0.001150904,359427,401.5944134,701,0.100236917,0.100234812,73,5
er_1_18_10,Synthetic,1141,64834,0.09968787,148,86,113.6441718,-0.001698213,733476,642.8361087,1064,0.099721835,0.099703029,96,5
er_1_19_10,Synthetic,1053,55185,0.099633854,135,79,104.8148148,0.004306984,575823,546.8404558,910,0.099669374,0.099666327,86,6
er_1_21_10,Synthetic,868,37681,0.100141385,116,61,86.82258065,-0.010889761,327102,376.8456221,686,0.100179397,0.100159317,71,6
er_1_20_20,Synthetic,830,69130,0.200938858,205,130,166.5783133,-0.003840155,2314785,2788.89759,4165,0.201147354,0.201134312,141,7
er_1_22_10,Synthetic,1094,59783,0.099993142,144,79,109.2925046,-0.00686319,652506,596.440585,1023,0.099959158,0.099931557,90,6
er_1_23_10,Synthetic,1039,54001,0.100142608,138,71,103.9480269,-0.007925509,561795,540.707411,975,0.100185668,0.100147299,86,6
er_1_24_5,Synthetic,946,22383,0.050075506,71,27,47.32135307,-0.005235414,52638,55.64270613,135,0.049869851,0.049739763,37,4
er_1_25_20,Synthetic,886,78573,0.200413207,230,139,177.3656885,-0.003714901,2796774,3156.629797,5370,0.20079511,0.200772084,150,8
er_2_1_10,Synthetic,11286,63987,0.001004801,26,1,11.33918129,-0.001309934,696,0.061669325,3,0.000972075,0.000959655,9,3
er_2_2_50,Synthetic,11429,325880,0.0049901,89,31,57.02686149,0.002376707,92889,8.127482719,30,0.004998092,0.004997872,44,4
er_2_3_10,Synthetic,9913,49288,0.00100324,24,1,9.94411379,-0.00062876,489,0.049329164,2,0.000990256,0.000999028,8,3
er_2_4_5,Synthetic,9594,23542,0.000511587,16,1,4.907650615,-0.003431096,51,0.005315822,1,0.000552186,0.000443949,4,3
er_2_5_5,Synthetic,11302,31831,0.000498435,16,1,5.632808353,-0.000714088,57,0.005043355,1,0.000456629,0.000318382,5,3
er_2_6_5,Synthetic,8115,16868,0.000512354,13,1,4.15723968,-0.004013683,24,0.002957486,1,0.000297802,0.000347368,4,3
er_2_7_5,Synthetic,9583,23321,0.000507948,16,1,4.867160597,0.002439592,78,0.008139414,2,0.000783773,0.000687982,4,3
er_2_8_50,Synthetic,10070,253048,0.004991339,80,24,50.25779543,0.00243538,63408,6.296722939,21,0.004984861,0.004984392,39,4
er_2_9_50,Synthetic,11955,357600,0.005004546,93,33,59.82434128,-0.000308464,107043,8.953826851,29,0.005011618,0.005004596,47,4
er_2_10_10,Synthetic,11763,69323,0.001002093,30,1,11.78661906,-0.002584011,825,0.07013517,3,0.001025282,0.001009152,9,3
er_2_11_10,Synthetic,8506,36203,0.001000864,21,1,8.512344228,0.002610429,354,0.041617682,3,0.001115463,0.001145527,7,3
er_2_12_50,Synthetic,10725,288210,0.005011698,83,24,53.74545455,0.001013021,77259,7.203636364,26,0.004987892,0.004989435,42,4
er_2_13_50,Synthetic,8736,190585,0.004995088,76,20,43.63209707,-0.000640618,41208,4.717032967,18,0.004958236,0.004958421,34,4
er_2_14_50,Synthetic,8851,195387,0.004988731,72,18,44.15026551,-0.004212573,42918,4.848943622,21,0.004986855,0.004976168,34,4
er_2_15_10,Synthetic,9582,45742,0.000996502,22,1,9.547484867,-0.002867624,483,0.050407013,2,0.00109302,0.001106691,7,3
er_2_16_5,Synthetic,9284,21865,0.000507406,14,1,4.710254201,0.005070971,33,0.003554502,1,0.000255849,0.000324347,4,3
er_2_17_50,Synthetic,8894,197973,0.005005997,71,21,44.51832696,-0.000166084,44016,4.948954351,20,0.005004237,0.004994481,34,4
er_2_18_50,Synthetic,10508,275267,0.00498638,82,27,52.39189189,0.000279291,72381,6.888180434,23,0.00501483,0.005019562,41,4
er_2_19_5,Synthetic,10676,28800,0.000505413,17,1,5.395279131,-0.003312661,78,0.007306107,2,0.000541509,0.000503521,5,3
er_2_20_50,Synthetic,8944,200579,0.005015341,69,23,44.85219141,-0.002678825,45309,5.065854204,18,0.005051161,0.005037697,34,4
er_2_21_50,Synthetic,10804,292143,0.005006066,81,25,54.08052573,0.001804807,79986,7.403369123,24,0.005061275,0.005062226,42,4
er_2_22_5,Synthetic,9745,24215,0.00051003,16,1,4.969728066,0.001059226,75,0.007696254,1,0.000602914,0.000626237,4,3
er_2_23_5,Synthetic,10714,29132,0.000507619,16,1,5.43811835,-0.006034857,66,0.006160164,1,0.000366373,0.000419535,5,3
er_2_24_50,Synthetic,9987,249123,0.00499594,80,26,49.88945629,-0.001046897,62319,6.240012016,21,0.005007818,0.005013055,39,4
er_2_25_50,Synthetic,11243,316177,0.005003046,89,29,56.24424086,-0.000358319,88101,7.83607578,29,0.004957856,0.004954841,44,4
er_3_1_500,Synthetic,107960,2915059,0.000500214,88,25,54.00257503,0.000481625,78324,0.725490923,8,0.000497485,0.000497561,42,3
er_3_3_5,Synthetic,53366,35341,2.48E-05,6,1,1.324476258,-0.002253833,0,0,0,0,0,2,2
er_3_2_500,Synthetic,99802,2488370,0.000499656,82,23,49.86613495,-0.000316005,62439,0.625628745,7,0.000503062,0.000503171,39,4
er_3_5_5,Synthetic,38576,24408,3.28E-05,6,1,1.265450021,0.001933277,0,0,0,0,0,2,2
er_3_4_500,Synthetic,118033,3482674,0.000499965,99,28,59.01186956,2.99E-05,102813,0.871053011,7,0.00050056,0.000500256,46,3
er_3_7_5,Synthetic,50631,33323,2.60E-05,6,1,1.316308191,-0.003653516,0,0,0,0,0,2,2
er_3_8_5,Synthetic,53855,35783,2.47E-05,6,1,1.328864544,-6.06E-06,0,0,0,0,0,2,2
er_3_9_5,Synthetic,47976,31311,2.72E-05,6,1,1.305277639,0.003978066,0,0,0,0,0,2,2
er_3_10_5,Synthetic,32297,19974,3.83E-05,5,1,1.236895068,-0.014982577,0,0,0,0,0,2,2
er_3_6_500,Synthetic,111408,3103686,0.000500125,90,27,55.71747092,-5.30E-05,86226,0.773965963,9,0.000498974,0.000498635,43,3
er_3_11_500,Synthetic,118675,3520227,0.000499903,97,29,59.32550242,0.000198172,105042,0.885123236,7,0.000502143,0.000503015,46,3
er_3_12_500,Synthetic,112553,3169126,0.000500333,93,27,56.31348787,-8.90E-05,88851,0.789414765,8,0.00049722,0.000497805,44,3
er_3_13_500,Synthetic,98410,2418874,0.000499539,81,23,49.15910985,-0.001386358,58695,0.596433289,6,0.000493827,0.000493565,38,3
er_3_14_500,Synthetic,108843,2964704,0.000500512,92,26,54.47670498,-0.000336563,81120,0.74529368,7,0.000502332,0.000502294,42,3
er_3_15_50,Synthetic,102065,263253,5.05E-05,17,1,5.158536227,-0.001083906,57,0.000558468,1,4.15E-05,4.22E-05,4,3
er_3_16_5,Synthetic,32358,20173,3.85E-05,5,1,1.246863218,-0.003039245,0,0,0,0,0,2,2
er_3_17_50,Synthetic,82797,176871,5.16E-05,16,1,4.272401174,0.000228686,18,0.000217399,1,1.85E-05,2.42E-05,4,3
er_3_18_50,Synthetic,86337,190723,5.12E-05,15,1,4.418105795,-0.002581777,48,0.000555961,1,8.06E-05,5.77E-05,4,3
er_3_19_50,Synthetic,108999,300277,5.05E-05,19,1,5.509720273,-0.002866195,60,0.000550464,1,4.23E-05,3.64E-05,5,3
er_3_20_5,Synthetic,43450,27916,2.96E-05,7,1,1.284971231,0.000413006,0,0,0,0,0,3,2
er_3_21_5,Synthetic,28649,17525,4.27E-05,6,1,1.223428392,-0.003986835,0,0,0,0,0,2,2
er_3_22_500,Synthetic,86553,1870685,0.000499426,75,17,43.22634686,-0.000787379,40023,0.462410315,6,0.000496389,0.000494934,33,3
er_3_23_500,Synthetic,86033,1849533,0.000499766,74,20,42.99589692,-0.00134617,39786,0.462450455,7,0.000501165,0.000500399,33,3
er_3_25_5,Synthetic,52336,34623,2.53E-05,6,1,1.323104555,-0.008988709,0,0,0,0,0,3,2
