,TotalCount,Brain Networks,Cheminformatics,Facebook Networks,Retweet Networks,Social Networks,Web Graphs
web-EPA,100.0,0.0,0.0,0.0,100.0,0.0,0.0
web-baidu-baike-related,100.0,0.0,0.0,0.0,0.0,100.0,0.0
web-baidu-baike,100.0,0.0,0.0,0.0,0.0,100.0,0.0
web-frwikinews-user-edits,100.0,100.0,0.0,0.0,0.0,0.0,0.0
web-italycnr-2000,100.0,0.0,0.0,0.0,0.0,100.0,0.0
web-polblogs,100.0,0.0,0.0,0.0,0.0,100.0,0.0
web-spam,100.0,0.0,0.0,100.0,0.0,0.0,0.0
web-uk-2005,100.0,100.0,0.0,0.0,0.0,0.0,0.0
web-webbase-2001,100.0,0.0,0.0,0.0,0.0,100.0,0.0
web-wiki-ch-internal,100.0,0.0,0.0,0.0,0.0,100.0,0.0
web-wikipedia2009,100.0,0.0,0.0,100.0,0.0,0.0,0.0
socfb-B-anon,100.0,0.0,0.0,0.0,0.0,100.0,0.0
socfb-Caltech36,100.0,0.0,0.0,0.0,0.0,100.0,0.0
socfb-nips-ego,100.0,0.0,0.0,0.0,100.0,0.0,0.0
soc-douban,100.0,0.0,0.0,0.0,100.0,0.0,0.0
soc-flickr-und,100.0,0.0,0.0,0.0,0.0,0.0,100.0
soc-livejournal,100.0,0.0,0.0,0.0,0.0,0.0,100.0
soc-tribes,100.0,100.0,0.0,0.0,0.0,0.0,0.0
soc-twitter-follows-mun,100.0,0.0,0.0,0.0,100.0,0.0,0.0
soc-twitter-follows,100.0,0.0,0.0,0.0,100.0,0.0,0.0
soc-twitter-higgs,100.0,0.0,0.0,0.0,0.0,0.0,100.0
soc-wiki-elec,100.0,0.0,0.0,100.0,0.0,0.0,0.0
rt-pol,100.0,0.0,0.0,0.0,0.0,100.0,0.0
rt-retweet-crawl,100.0,0.0,0.0,0.0,0.0,100.0,0.0
rt-retweet,100.0,0.0,0.0,0.0,0.0,100.0,0.0
bn-macaque-rhesus-brain-1,100.0,0.0,0.0,0.0,0.0,100.0,0.0
bn-mouse-visual-cortex-1,100.0,0.0,0.0,0.0,0.0,100.0,0.0
bn-mouse-visual-cortex-2,100.0,0.0,0.0,0.0,100.0,0.0,0.0
ENZYMES-g136,100.0,100.0,0.0,0.0,0.0,0.0,0.0
